balanced 0 test_flag 0
[Run 178] Ep10000: 2589 steps (0.0007 hrs) 23 sec, Max 270718 steps
[Run 179] Ep10000: 2590 steps (0.0007 hrs) 18 sec, Max 270718 steps
[Run 180] Ep10000: 1280 steps (0.0004 hrs) 11 sec, Max 270718 steps
[Run 181] Ep10000: 2097 steps (0.0006 hrs) 13 sec, Max 270718 steps
[Run 182] Ep10000: 1799 steps (0.0005 hrs) 14 sec, Max 270718 steps
[Run 183] Ep10000: 2790 steps (0.0008 hrs) 13 sec, Max 270718 steps
[Run 184] Ep10000: 3065 steps (0.0009 hrs) 20 sec, Max 270718 steps
[Run 185] Ep10000: 1686 steps (0.0005 hrs) 13 sec, Max 270718 steps
[Run 186] Ep10000: 2292 steps (0.0006 hrs) 16 sec, Max 270718 steps
[Run 187] Ep10000: 2622 steps (0.0007 hrs) 24 sec, Max 270718 steps
[Run 188] Ep10000: 2150 steps (0.0006 hrs) 13 sec, Max 270718 steps
[Run 189] Ep10000: 2414 steps (0.0007 hrs) 23 sec, Max 270718 steps
[Run 190] Ep10000: 1604 steps (0.0004 hrs) 13 sec, Max 270718 steps
[Run 191] Ep10000: 2087 steps (0.0006 hrs) 18 sec, Max 270718 steps
[Run 192] Ep10000: 2061 steps (0.0006 hrs) 24 sec, Max 270718 steps
[Run 193] Ep10000: 1946 steps (0.0005 hrs) 12 sec, Max 270718 steps
[Run 194] Ep10000: 2213 steps (0.0006 hrs) 14 sec, Max 270718 steps
[Run 195] Ep10000: 3051 steps (0.0008 hrs) 18 sec, Max 270718 steps
[Run 196] Ep10000: 1633 steps (0.0005 hrs) 13 sec, Max 270718 steps
[Run 197] Ep10000: 2780 steps (0.0008 hrs) 11 sec, Max 270718 steps
[Run 198] Ep10000: 4338 steps (0.0012 hrs) 20 sec, Max 270718 steps
[Run 199] Ep10000: 1755 steps (0.0005 hrs) 11 sec, Max 270718 steps
[Run 200] Ep10000: 2349 steps (0.0007 hrs) 24 sec, Max 270718 steps
[Run 201] Ep10000: 1875 steps (0.0005 hrs) 13 sec, Max 270718 steps
[Run 202] Ep10000: 2936 steps (0.0008 hrs) 15 sec, Max 270718 steps
[Run 203] Ep10000: 2768 steps (0.0008 hrs) 25 sec, Max 270718 steps
[Run 204] Ep10000: 1471 steps (0.0004 hrs) 11 sec, Max 270718 steps
[Run 205] Ep10000: 1934 steps (0.0005 hrs) 13 sec, Max 270718 steps
[Run 206] Ep10000: 1526 steps (0.0004 hrs) 11 sec, Max 270718 steps
[Run 207] Ep10000: 1768 steps (0.0005 hrs) 13 sec, Max 270718 steps
[Run 208] Ep10000: 1644 steps (0.0005 hrs) 15 sec, Max 270718 steps
[Run 209] Ep10000: 1477 steps (0.0004 hrs) 12 sec, Max 270718 steps
[Run 210] Ep10000: 2118 steps (0.0006 hrs) 14 sec, Max 270718 steps
[Run 211] Ep10000: 2168 steps (0.0006 hrs) 15 sec, Max 270718 steps
[Run 212] Ep10000: 1864 steps (0.0005 hrs) 13 sec, Max 270718 steps
[Run 213] Ep10000: 3811 steps (0.0011 hrs) 25 sec, Max 270718 steps
[Run 214] Ep10000: 1776 steps (0.0005 hrs) 14 sec, Max 270718 steps
[Run 215] Ep10000: 2204 steps (0.0006 hrs) 14 sec, Max 270718 steps
[Run 216] Ep10000: 1857 steps (0.0005 hrs) 23 sec, Max 270718 steps
[Run 217] Ep10000: 1463 steps (0.0004 hrs) 13 sec, Max 270718 steps
[Run 218] Ep10000: 3196 steps (0.0009 hrs) 19 sec, Max 270718 steps
[Run 219] Ep10000: 1984 steps (0.0006 hrs) 13 sec, Max 270718 steps
[Run 220] Ep10000: 43070 steps (0.0120 hrs) 29 sec, Max 270718 steps
[Run 221] Ep10000: 2089 steps (0.0006 hrs) 20 sec, Max 270718 steps
[Run 222] Ep10000: 1622 steps (0.0005 hrs) 12 sec, Max 270718 steps
[Run 223] Ep10000: 1906 steps (0.0005 hrs) 14 sec, Max 270718 steps
[Run 224] Ep10000: 2152 steps (0.0006 hrs) 17 sec, Max 270718 steps
[Run 225] Ep10000: 1623 steps (0.0005 hrs) 10 sec, Max 270718 steps
[Run 226] Ep10000: 2041 steps (0.0006 hrs) 17 sec, Max 270718 steps
[Run 227] Ep10000: 2160 steps (0.0006 hrs) 24 sec, Max 270718 steps
[Run 228] Ep10000: 2393 steps (0.0007 hrs) 24 sec, Max 270718 steps
[Run 229] Ep10000: 1714 steps (0.0005 hrs) 14 sec, Max 270718 steps
[Run 230] Ep10000: 2614 steps (0.0007 hrs) 24 sec, Max 270718 steps
[Run 231] Ep10000: 2233 steps (0.0006 hrs) 17 sec, Max 270718 steps
[Run 232] Ep10000: 2405 steps (0.0007 hrs) 17 sec, Max 270718 steps
[Run 233] Ep10000: 2000 steps (0.0006 hrs) 21 sec, Max 270718 steps
[Run 234] Ep10000: 3009 steps (0.0008 hrs) 17 sec, Max 270718 steps
[Run 235] Ep10000: 2077 steps (0.0006 hrs) 13 sec, Max 270718 steps
[Run 236] Ep10000: 2798 steps (0.0008 hrs) 17 sec, Max 270718 steps
[Run 237] Ep10000: 2414 steps (0.0007 hrs) 21 sec, Max 270718 steps
