balanced 0 test_flag 0
[226] Ep10000: 1417 steps (0.0004 hrs) 12 sec, Max 29919 steps
[227] Ep10000: 1193 steps (0.0003 hrs) 9 sec, Max 29919 steps
[228] Ep10000: 2363 steps (0.0007 hrs) 13 sec, Max 29919 steps
[229] Ep10000: 1862 steps (0.0005 hrs) 13 sec, Max 29919 steps
[230] Ep10000: 1587 steps (0.0004 hrs) 12 sec, Max 29919 steps
[231] Ep10000: 1800 steps (0.0005 hrs) 17 sec, Max 29919 steps
[232] Ep10000: 2284 steps (0.0006 hrs) 15 sec, Max 29919 steps
[233] Ep10000: 1672 steps (0.0005 hrs) 12 sec, Max 29919 steps
[234] Ep10000: 2210 steps (0.0006 hrs) 21 sec, Max 29919 steps
[235] Ep10000: 1792 steps (0.0005 hrs) 14 sec, Max 29919 steps
[236] Ep10000: 2503 steps (0.0007 hrs) 24 sec, Max 29919 steps
[237] Ep10000: 1611 steps (0.0004 hrs) 14 sec, Max 29919 steps
[238] Ep10000: 1665 steps (0.0005 hrs) 11 sec, Max 29919 steps
[239] Ep10000: 2243 steps (0.0006 hrs) 23 sec, Max 29919 steps
[240] Ep10000: 2004 steps (0.0006 hrs) 12 sec, Max 29919 steps
[241] Ep10000: 2409 steps (0.0007 hrs) 12 sec, Max 29919 steps
[242] Ep10000: 2138 steps (0.0006 hrs) 21 sec, Max 29919 steps
[243] Ep10000: 2161 steps (0.0006 hrs) 20 sec, Max 29919 steps
[244] Ep10000: 2328 steps (0.0006 hrs) 21 sec, Max 29919 steps
[245] Ep10000: 1701 steps (0.0005 hrs) 12 sec, Max 29919 steps
[246] Ep10000: 2851 steps (0.0008 hrs) 20 sec, Max 29919 steps
[247] Ep10000: 1676 steps (0.0005 hrs) 20 sec, Max 29919 steps
[248] Ep10000: 2280 steps (0.0006 hrs) 21 sec, Max 29919 steps
[249] Ep10000: 1669 steps (0.0005 hrs) 15 sec, Max 29919 steps
[250] Ep10000: 1806 steps (0.0005 hrs) 14 sec, Max 29919 steps
[251] Ep10000: 1898 steps (0.0005 hrs) 18 sec, Max 29919 steps
[252] Ep10000: 1780 steps (0.0005 hrs) 15 sec, Max 29919 steps
[253] Ep10000: 1520 steps (0.0004 hrs) 12 sec, Max 29919 steps
