balanced 0 test_flag 0
[205] Ep10000: 1720 steps (0.0005 hrs) 17 sec, Max 13149 steps
[206] Ep10000: 3452 steps (0.0010 hrs) 20 sec, Max 13149 steps
[207] Ep10000: 2302 steps (0.0006 hrs) 17 sec, Max 13149 steps
[208] Ep10000: 3959 steps (0.0011 hrs) 22 sec, Max 13149 steps
[209] Ep10000: 1780 steps (0.0005 hrs) 17 sec, Max 13149 steps
[210] Ep10000: 2016 steps (0.0006 hrs) 17 sec, Max 13149 steps
[211] Ep10000: 1783 steps (0.0005 hrs) 16 sec, Max 13149 steps
[212] Ep10000: 2062 steps (0.0006 hrs) 18 sec, Max 13149 steps
[213] Ep10000: 2491 steps (0.0007 hrs) 17 sec, Max 13149 steps
[214] Ep10000: 4868 steps (0.0014 hrs) 27 sec, Max 13149 steps
[215] Ep10000: 1855 steps (0.0005 hrs) 18 sec, Max 13149 steps
[216] Ep10000: 2281 steps (0.0006 hrs) 25 sec, Max 13149 steps
[217] Ep10000: 2785 steps (0.0008 hrs) 25 sec, Max 13149 steps
[218] Ep10000: 3923 steps (0.0011 hrs) 31 sec, Max 13149 steps
[219] Ep10000: 2194 steps (0.0006 hrs) 25 sec, Max 13149 steps
[220] Ep10000: 4257 steps (0.0012 hrs) 31 sec, Max 13149 steps
[221] Ep10000: 2390 steps (0.0007 hrs) 26 sec, Max 13149 steps
[222] Ep10000: 1962 steps (0.0005 hrs) 16 sec, Max 13149 steps
[223] Ep10000: 2233 steps (0.0006 hrs) 17 sec, Max 13149 steps
[224] Ep10000: 1845 steps (0.0005 hrs) 21 sec, Max 13149 steps
[225] Ep10000: 1886 steps (0.0005 hrs) 16 sec, Max 13149 steps
[226] Ep10000: 1653 steps (0.0005 hrs) 16 sec, Max 13149 steps
[227] Ep10000: 1429 steps (0.0004 hrs) 19 sec, Max 13149 steps
[228] Ep10000: 11521 steps (0.0032 hrs) 36 sec, Max 13149 steps
[229] Ep10000: 2031 steps (0.0006 hrs) 17 sec, Max 13149 steps
[230] Ep10000: 6401 steps (0.0018 hrs) 30 sec, Max 13149 steps
