balanced 0 test_flag 0
[315] Ep10000: 2789 steps (0.0008 hrs) 25 sec, Max 9159 steps
[316] Ep10000: 2450 steps (0.0007 hrs) 14 sec, Max 9159 steps
[317] Ep10000: 1532 steps (0.0004 hrs) 12 sec, Max 9159 steps
[318] Ep10000: 1168 steps (0.0003 hrs) 11 sec, Max 9159 steps
[319] Ep10000: 2035 steps (0.0006 hrs) 14 sec, Max 9159 steps
[320] Ep10000: 1252 steps (0.0003 hrs) 12 sec, Max 9159 steps
[321] Ep10000: 2316 steps (0.0006 hrs) 25 sec, Max 9159 steps
[322] Ep10000: 2063 steps (0.0006 hrs) 27 sec, Max 9159 steps
[323] Ep10000: 1909 steps (0.0005 hrs) 22 sec, Max 9159 steps
[324] Ep10000: 2313 steps (0.0006 hrs) 25 sec, Max 9159 steps
[325] Ep10000: 1683 steps (0.0005 hrs) 12 sec, Max 9159 steps
[326] Ep10000: 2310 steps (0.0006 hrs) 25 sec, Max 9159 steps
[327] Ep10000: 2078 steps (0.0006 hrs) 14 sec, Max 9159 steps
[328] Ep10000: 2558 steps (0.0007 hrs) 25 sec, Max 9159 steps
[329] Ep10000: 1836 steps (0.0005 hrs) 16 sec, Max 9159 steps
[330] Ep10000: 2331 steps (0.0006 hrs) 26 sec, Max 9159 steps
[331] Ep10000: 1623 steps (0.0005 hrs) 13 sec, Max 9159 steps
[332] Ep10000: 2340 steps (0.0007 hrs) 15 sec, Max 9159 steps
[333] Ep10000: 1997 steps (0.0006 hrs) 20 sec, Max 9159 steps
[334] Ep10000: 2644 steps (0.0007 hrs) 25 sec, Max 9159 steps
[335] Ep10000: 2191 steps (0.0006 hrs) 15 sec, Max 9159 steps
[336] Ep10000: 2692 steps (0.0007 hrs) 25 sec, Max 9159 steps
[337] Ep10000: 2053 steps (0.0006 hrs) 25 sec, Max 9159 steps
[338] Ep10000: 2181 steps (0.0006 hrs) 25 sec, Max 9159 steps
[339] Ep10000: 1333 steps (0.0004 hrs) 13 sec, Max 9159 steps
[340] Ep10000: 1546 steps (0.0004 hrs) 17 sec, Max 9159 steps
[341] Ep10000: 1814 steps (0.0005 hrs) 19 sec, Max 9159 steps
[342] Ep10000: 1283 steps (0.0004 hrs) 12 sec, Max 9159 steps
[343] Ep10000: 2301 steps (0.0006 hrs) 22 sec, Max 9159 steps
[344] Ep10000: 2427 steps (0.0007 hrs) 20 sec, Max 9159 steps
[345] Ep10000: 4437 steps (0.0012 hrs) 20 sec, Max 9159 steps
[346] Ep10000: 2155 steps (0.0006 hrs) 26 sec, Max 9159 steps
[347] Ep10000: 1973 steps (0.0005 hrs) 12 sec, Max 9159 steps
