balanced 0 test_flag 0
[Run 203] Ep10000: 3638 steps (0.0010 hrs) 26 sec, Max 28836 steps
[Run 204] Ep10000: 2433 steps (0.0007 hrs) 25 sec, Max 28836 steps
[Run 205] Ep10000: 2494 steps (0.0007 hrs) 25 sec, Max 28836 steps
[Run 206] Ep10000: 1882 steps (0.0005 hrs) 25 sec, Max 28836 steps
[Run 207] Ep10000: 3192 steps (0.0009 hrs) 27 sec, Max 28836 steps
[Run 208] Ep10000: 2083 steps (0.0006 hrs) 17 sec, Max 28836 steps
[Run 209] Ep10000: 2223 steps (0.0006 hrs) 25 sec, Max 28836 steps
[Run 210] Ep10000: 1967 steps (0.0005 hrs) 16 sec, Max 28836 steps
[Run 211] Ep10000: 2611 steps (0.0007 hrs) 21 sec, Max 28836 steps
[Run 212] Ep10000: 2336 steps (0.0006 hrs) 25 sec, Max 28836 steps
[Run 213] Ep10000: 1693 steps (0.0005 hrs) 16 sec, Max 28836 steps
[Run 214] Ep10000: 5842 steps (0.0016 hrs) 27 sec, Max 28836 steps
[Run 215] Ep10000: 2958 steps (0.0008 hrs) 25 sec, Max 28836 steps
[Run 216] Ep10000: 1523 steps (0.0004 hrs) 17 sec, Max 28836 steps
[Run 217] Ep10000: 2157 steps (0.0006 hrs) 25 sec, Max 28836 steps
[Run 218] Ep10000: 1647 steps (0.0005 hrs) 16 sec, Max 28836 steps
[Run 219] Ep10000: 2980 steps (0.0008 hrs) 25 sec, Max 28836 steps
[Run 220] Ep10000: 1538 steps (0.0004 hrs) 16 sec, Max 28836 steps
[Run 221] Ep10000: 1976 steps (0.0005 hrs) 15 sec, Max 28836 steps
[Run 222] Ep10000: 1987 steps (0.0006 hrs) 26 sec, Max 28836 steps
[Run 223] Ep10000: 2264 steps (0.0006 hrs) 19 sec, Max 28836 steps
[Run 224] Ep10000: 5849 steps (0.0016 hrs) 31 sec, Max 28836 steps
[Run 225] Ep10000: 1648 steps (0.0005 hrs) 15 sec, Max 28836 steps
[Run 226] Ep10000: 1594 steps (0.0004 hrs) 16 sec, Max 28836 steps
[Run 227] Ep10000: 2205 steps (0.0006 hrs) 16 sec, Max 28836 steps
[Run 228] Ep10000: 3137 steps (0.0009 hrs) 26 sec, Max 28836 steps
[Run 229] Ep10000: 3619 steps (0.0010 hrs) 27 sec, Max 28836 steps
[Run 230] Ep10000: 2042 steps (0.0006 hrs) 18 sec, Max 28836 steps
[Run 231] Ep10000: 1689 steps (0.0005 hrs) 15 sec, Max 28836 steps
[Run 232] Ep10000: 2831 steps (0.0008 hrs) 26 sec, Max 28836 steps
[Run 233] Ep10000: 4330 steps (0.0012 hrs) 27 sec, Max 28836 steps
[Run 234] Ep10000: 5922 steps (0.0016 hrs) 41 sec, Max 28836 steps
[Run 235] Ep10000: 2829 steps (0.0008 hrs) 25 sec, Max 28836 steps
[Run 236] Ep10000: 2604 steps (0.0007 hrs) 17 sec, Max 28836 steps
[Run 237] Ep10000: 3132 steps (0.0009 hrs) 22 sec, Max 28836 steps
[Run 238] Ep10000: 3301 steps (0.0009 hrs) 26 sec, Max 28836 steps
[Run 239] Ep10000: 4024 steps (0.0011 hrs) 28 sec, Max 28836 steps
[Run 240] Ep10000: 1948 steps (0.0005 hrs) 25 sec, Max 28836 steps
[Run 241] Ep10000: 2186 steps (0.0006 hrs) 26 sec, Max 28836 steps
[Run 242] Ep10000: 2933 steps (0.0008 hrs) 26 sec, Max 28836 steps
[Run 243] Ep10000: 1533 steps (0.0004 hrs) 16 sec, Max 28836 steps
[Run 244] Ep10000: 2500 steps (0.0007 hrs) 23 sec, Max 28836 steps
[Run 245] Ep10000: 4495 steps (0.0012 hrs) 26 sec, Max 28836 steps
[Run 246] Ep10000: 3248 steps (0.0009 hrs) 27 sec, Max 28836 steps
[Run 247] Ep10000: 4460 steps (0.0012 hrs) 26 sec, Max 28836 steps
[Run 248] Ep10000: 1634 steps (0.0005 hrs) 15 sec, Max 28836 steps
